fallacy,definition,example,category
Confirmation Bias,Cherry picking evidence that supports your idea while ignoring contradicting evidence.,"""It's obvious 9-11 was a American-government led conspiracy to justify war in Iraq and Afghanistan. No plane hit the Pentagon. The Twin Towers collapse was a controlled demolition... etc""",Manipulating Content
Cum Hoc Ergo Propter Hoc,Claiming two events that occur together must have a cause-and-effect relationship. (Correlation = cause),Teenagers in gangs listen to rap music with violent themes. Rap music inspires violence in teenagers.,Garbled Cause & Effect
Denying the Antecedent,There isn't only one explanation for an outcome. So it's false to assume the cause based on the effect.,"If you get a degree, you'll get a good job. If you don't get a degree, you won't get a good job.",Garbled Cause & Effect
Design Fallacy,Assuming that because something is nicely designed or beautifully visualised it's more true,"""Er...""",Faulty Deduction
Division,Assuming that characteristics or beliefs of a group automatically apply to any individual member,"Many Conservatives wish to ban gay marriage, discredit climate change, and deny evolution. Therefore all conservatives are homophobic, anti-enviroment creationists.",Faulty Deduction
False Dilemma,Presenting two opposing options as the only two options while hiding alternatives.,We're going to have to cut the education budget or go deeper into debt. We can't afford to go deeper into debt. So we'll have to cut the education budget.,Manipulating Content
Gambler's Fallacy,Assuming the history of outcomes will affect future outcomes.,"I've flipped this coin 10 times in a row and it's been heads. Therefore the next coin flip is more likely to come up tails.",Faulty Deduction
Genetic Fallacy,"Attacking the cause or origin of a claim, rather than its substance.","Of course, mainstream liberal media aren't going to say Barack Obama is a Muslim.",On the Attack
Guilt by Association,Discrediting an idea or claim by associating it with an undesirable person or group.,"""Oh you want to relax the anti-terrorism laws just like the terrorists want us to do. Are you saying you support terrorism?""",On the Attack
Hasty Generalization,Drawing a general conclusion from a tiny sample.,I just got cut up by the woman driver in front. Women can't drive.,Faulty Deduction
Ignoring a Common Cause,Claiming one event must have caused the other when a third (unlooked for) event is probably the cause,"""We had the 60s sexual revolution, and now people are dying of AIDS.""",Garbled Cause & Effect
Jumping to Conclusions,Drawing a quick conclusion without fairly considering relevant (and easily available) evidence.,"""She wants birth control in her medical cover? What a slut!""",Faulty Deduction
Lie,An outright untruth repeated knowingly as a fact,"""I did not have sexual relations with that woman""",Manipulating Content
Middle Ground,"Assuming because two opposing arguments have merit, the answer must lie somewhere between them.",I rear ended your car but I don't think I should pay for the damage. You think I should pay for all the damage. A fair compromise would be to split the bill in half.,Faulty Deduction
Misleading Vividness,"Describing an occurrence in vivid detail, even if it is a rare occurrence, to convince someone that it is a problem.","After a court decision to legalise gay marriage, school libraries were required to stock same-sex literature; primary schoolchildren were given homosexual fairy stories and even manuals of explicit homosexual advocacy""",Manipulating Content
Perfectionist Fallacy,"Assuming that the only option on the table is perfect success, then rejecting anything that will not work perfectly.",What's the point of these anti-drunk driving campaign? People are still going to drink and drive no matter what.,Faulty Deduction
Post Hoc Ergo Propter Hoc,"Claiming that because one event followed another, it was also caused by it.",Since the election of the President more people than ever are unemployed. Therefore the President has damaged the economy.,Garbled Cause & Effect
Red Herring,Introducing irrelevant material to the argument to distract and lead towards a different conclusion.,"""Why should the senator account for irregularities in his expenses? After all, there are senators who have done far worse things.""",Manipulating Content
Relativist Fallacy,Rejecting a claim because of a belief that truth is relative to a person or group.,That's perhaps true for you. But it's not true for me.,Faulty Deduction
Slippery Slope,Assuming a relatively small first step will inevitably lead to a chain of related (negative) events,"If we legalize marijuana, more people will start using crack and heroin. Then we'd have to legalize those too.",Garbled Cause & Effect
Special Pleading,Universal principles do not apply to me or my argument.,No one is above the law. But I wouldn't rat on anybody,Manipulating Content
Spotlight,Assuming an observation from a small sample size applies to an entire group,This large shoe manufacturer employs children in sweatshops. Therefore all shoe companies are evil child-slave owners!,Faulty Deduction
Straw Man,"Creating a distorted or simplified caricature of your opponent's argument, and then arguing against that.",You say Israel should stop building settlements on the West Bank in violation of treaty. So you're saying Israel doesn't have the right to be a nation?,On the Attack
Suppressed Evidence,Intentionally failing to use significant and relevant information which counts against one’s own conclusion.,"""The Iraqi regime possesses and produces chemical and biological weapons. It is seeking nuclear weapons.""",Manipulating Content
Sweeping Generalisation,Applying a general rule too broadly.,Those young men rioted because they lacked morally responsible fathers.,Faulty Deduction
Two Wrongs Make a Right,"Assuming that if one wrong is committed, another wrong will cancel it out",Sure - the conditions in this prison are cruel and dehumanising. But these inmates are criminals!,On the Attack
Undistributed Middle,"Assuming because two things share a property, that makes them the same thing.",A theory can mean an unproven idea. Scientists use the term evolutionary theory. Therefore evolution is an unproven idea.,Faulty Deduction
Unfalsifiability,"Offering a claim that cannot be proven false, because there is no way to check if it is false or not.",He lied because he’s possessed by demons.,Manipulating Content
