label,subtitle,description,primary,type,subtype,symbol,distance_from_primary_km,equatorial_radius_km,mass_kg,volume_km3,orbital_period_years,inclination_degrees,axial_tilt_degrees,surface_area_km2,density_g/cm3,equatorial gravity_m/s2,escape_velocity_km/s,rotation_period_days,mean_orbital_speed_km/s,eccentricity,mean_surface_temperature_K,atmospheric_composition,rings?
Pluto,,"Pluto is a dwarf planet in the Kuiper belt, a ring of bodies beyond Neptune. It was the first Kuiper belt object to be discovered. Pluto was discovered by Clyde Tombaugh in 1930 and was originally considered to be the ninth planet from the Sun. After 1992, its planethood was questioned following the discovery of several objects of similar size in the Kuiper belt. In 2005, Eris, a dwarf planet in the scattered disc which is 27% more massive than Pluto, was discovered. This led the International Astronomical Union (IAU) to define the term ""planet"" formally in 2006, during their 26th General Assembly. That definition excluded Pluto and reclassified it as a dwarf planet.",Sun,dwarf_planet,plutoid,♇,5906380000.00,1186.00,13050000000000000000000.00,6990000000.00,247.92,17.14,119.59,"17,700,000",1.87,0.62,1.21,−6.38723,4.749,0.24880766,40,"N2, CH4, CO",No
Haumea,,"Haumea is a dwarf planet located beyond Neptune's orbit. It was discovered in 2004 by a team headed by Mike Brown of Caltech at the Palomar Observatory in the United States and independently in 2005, by a team headed by José Luis Ortiz Moreno at the Sierra Nevada Observatory in Spain, though the latter claim has been contested. On September 17, 2008, it was recognized as a dwarf planet by the International Astronomical Union (IAU) and named after Haumea, the Hawaiian goddess of childbirth.",Sun,dwarf_planet,plutoid,NULL,6484000000.00,650.00,4010000000000000000000.00,1500000000.00,285.40,28.19,NULL,"6,800,000",2.6,0.63,0.91,0.167,4.484,0.18874,<50,NULL,No
Makemake,,"Makemake is a dwarf planet and perhaps the largest Kuiper belt object in the classical population, with a diameter approximately two thirds that of Pluto. Makemake has one known satellite, S/2015 (136472) 1. Makemake’s extremely low average temperature, about 30 K (−243.2 °C), means its surface is covered with methane, ethane, and possibly nitrogen ices. Makemake was discovered on March 31, 2005, by a team led by Michael E. Brown, and announced on July 29, 2005. Initially, it was known as 2005 FY9 and later given the minor-planet number 136472. Makemake was recognized as a dwarf planet by the International Astronomical Union (IAU) in July 2008. Its name derives from Makemake in the mythology of the Rapa Nui people of Easter Island.",Sun,dwarf_planet,plutoid,NULL,6850000000.00,715.00,NULL,1500000000.00,309.90,28.96,NULL,"6,400,000",NULL,NULL,NULL,NULL,4.4,0.159,30,"N2, CH4",No
Eris,,"Eris is the most massive and second-largest dwarf planet known in the Solar System. Eris was discovered in January 2005 by a Palomar Observatory-based team led by Mike Brown, and its identity was verified later that year. In September 2006 it was named after Eris, the Greek goddess of strife and discord. Among known bodies of the Solar System, Eris is the ninth most massive directly orbiting the Sun, and the 16th most massive overall, because seven moons are more massive than all known dwarf planets. It is also the largest which has not yet been visited by a spacecraft. Eris was measured to be 2,326 ± 12 kilometers (1,445.3 ± 7.5 mi) in diameter. Eris' mass is about 0.27% of the Earth mass, about 27% more than dwarf planet Pluto, although Pluto is slightly larger by volume.",Sun,dwarf_planet,plutoid,NULL,10210000000.00,1163.00,17000000000000000000000.00,6590000000.00,557.00,44.19,NULL,"17,000,000",2.25,0.8,1.37,NULL,3.436,0.44177,30,"N2, CH4",No
Moon,,"The Moon is an astronomical body that orbits planet Earth, being Earth's only permanent natural satellite. It is the fifth-largest natural satellite in the Solar System, and the largest among planetary satellites relative to the size of the planet that it orbits (its primary). Following Jupiter's satellite Io, the Moon is second-densest satellite among those whose densities are known. The Moon is thought to have formed about 4.51 billion years ago, not long after Earth. There are several hypotheses for its origin; the most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars-sized body called Theia.",Earth,satellite,NULL,☽,384399.00,1737.10,73477000000000000000000.00,22000000000.00,27.32,23.44,6.68,"37,930,000",3.3464,1.622,2.38,27.321582,1.022,0.0549,220,"Ar, He, Na, K, H",No
Io,"The fifth moon orbiting Jupiter, high-density and geologically active","Io is the innermost of the four Galilean moons of the planet Jupiter. It is the fourth-largest moon, has the highest density of all the moons, and has the least amount of water of any known astronomical object in the Solar System. It was discovered in 1610 and was named after the mythological character Io, a priestess of Hera who became one of Zeus's lovers. With over 400 active volcanoes, Io is the most geologically active object in the Solar System.",Jupiter,satellite,NULL,NULL,421600.00,1815.00,89400000000000000000000.00,25300000000.00,1.77,0.04,0.00,"41,910,000",3.528,1.796,2.56,1.7691378,17.34,0.0041,130,SO2,No
Europa,"The sixth moon of Jupiter, with an icy and smooth crust","Europa (Jupiter II), is the smallest of the four Galilean moons orbiting Jupiter, and the sixth-closest to the planet. It is also the sixth-largest moon in the Solar System. Europa was discovered in 1610 by Galileo Galilei and was named after Europa, the legendary mother of King Minos of Crete and lover of Zeus (the Greek equivalent of the Roman god Jupiter). Slightly smaller than Earth's Moon, Europa is primarily made of silicate rock and has a water-ice crust and probably an iron–nickel core. It has a tenuous atmosphere composed primarily of oxygen. Its surface is striated by cracks and streaks, whereas craters are relatively rare. In addition to Earth-bound telescope observations, Europa has been examined by a succession of space probe flybys, the first occurring in the early 1970s.",Jupiter,satellite,NULL,NULL,670900.00,1569.00,48000000000000000000000.00,15900000000.00,3.55,0.47,0.00,"30,900,000",3.01,1.314,2.025,3.551181,13.74,0.009,102,O2,No
Ganymede,"The seventh moon of Jupiter, also the largest and heaviest","Ganymede (Jupiter III) is the largest and most massive moon of Jupiter and in the Solar System. The ninth largest object in the Solar System, it is the largest without a substantial atmosphere. It has a diameter of 5,268 km (3,273 mi) and is 8% larger than the planet Mercury, although only 45% as massive. Possessing a metallic core, it has the lowest moment of inertia factor of any solid body in the Solar System and is the only moon known to have a magnetic field. It is the third of the Galilean moons, the first group of objects discovered orbiting another planet, and the seventh satellite outward from Jupiter, Ganymede orbits Jupiter in roughly seven days and is in a 1:2:4 orbital resonance with the moons Europa and Io, respectively.",Jupiter,satellite,NULL,NULL,1070400.00,2634.10,148190000000000000000000.00,76000000000.00,7.15,1.85,0.33,"87,000,000",1.936,1.428,2.741,7.154553,10.88,0.0013,110,O2,No
Callisto,"The eight moon around Jupiter, with a old, heavily cratered surface","Callisto (Jupiter IV) is the second-largest moon of Jupiter, after Ganymede. It is the third-largest moon in the Solar System after Ganymede and Saturn's largest moon Titan, and the largest object in the Solar System not to be properly differentiated. Callisto was discovered in 1610 by Galileo Galilei. At 4821 km in diameter, Callisto has about 99% the diameter of the planet Mercury but only about a third of its mass. It is the fourth Galilean moon of Jupiter by distance, with an orbital radius of about 1883000 km. It is not in an orbital resonance like the three other Galilean satellites—Io, Europa, and Ganymede—and is thus not appreciably tidally heated. Callisto's rotation is tidally locked to its orbit around Jupiter, so that the same hemisphere always faces inward; Jupiter appears to stand nearly still in Callisto's sky. It is less affected by Jupiter's magnetosphere than the other inner satellites because of its more remote orbit, located just outside Jupiter's main radiation belt.",Jupiter,satellite,NULL,NULL,1882700.00,2410.30,107580000000000000000000.00,59000000000.00,16.69,0.20,0.00,"73,000,000",1.83,1.235,2.44,16.68902,8.204,0.0074,134,"O2, CO2",No
Mimas,,"Mimas is a moon of Saturn which was discovered in 1789 by William Herschel. It is named after Mimas, a son of Gaia in Greek mythology, and is also designated Saturn I. With a diameter of 396 kilometres (246 mi) it is the smallest astronomical body that is known to be rounded in shape because of self-gravitation. Mimas was discovered by the astronomer William Herschel on 17 September 1789. He recorded his discovery as follows: ""The great light of my forty-foot telescope was so useful that on the 17th of September, 1789, I remarked the seventh satellite, then situated at its greatest western elongation.""",Saturn,satellite,NULL,NULL,185520.00,198.30,37500000000000000000.00,33000000.00,0.94,1.51,0.00,"490,000",1.15,0.0636,0.159,0.942422,14.32,0.0202,64,NULL,No
Enceladus,,"Enceladus is the sixth-largest moon of Saturn. It is about 500 kilometers (310 mi) in diameter, about a tenth of that of Saturn's largest moon, Titan. Enceladus is mostly covered by fresh, clean ice, making it one of the most reflective bodies of the solar system. Consequently, its surface temperature at noon only reaches −198 °C (−324 °F), far colder than a light-absorbing body would be. Despite its small size, Enceladus has a wide range of surface features, ranging from old, heavily cratered regions to young, tectonically deformed terrains that formed as recently as 100 million years ago. Enceladus was discovered on August 28, 1789, by William Herschel",Saturn,satellite,NULL,NULL,237948.00,252.10,108000000000000000000.00,67000000.00,1.37,0.02,0.00,"799,000",1.61,0.111,0.239,1.370218,12.63,0.0047,75,"H2O, N2, CO2, CH4",No
Tethys,,"Tethys (or Saturn III) is a mid-sized moon of Saturn about 1,060 km (660 mi) across. It was discovered by G. D. Cassini in 1684 and is named after the titan Tethys of Greek mythology. Tethys has a low density of 0.98 g/cm3, the lowest of all the major moons in the Solar System, indicating that it is made of water ice with just a small fraction of rock. This is confirmed by the spectroscopy of its surface, which identified water ice as the dominant surface material. A small amount of an unidentified dark material is present as well. The surface of Tethys is very bright, being the second-brightest of the moons of Saturn after Enceladus, and neutral in color.",Saturn,satellite,NULL,NULL,294619.00,533.00,617400000000000000000.00,630000000.00,1.89,1.51,0.00,"3,570,000",0.98,0.145,0.393,1.887802,11.35,0.02,64,NULL,No
Dione,,"Dione is a moon of Saturn. It was discovered by Italian astronomer Giovanni Domenico Cassini in 1684. It is named after the Titaness Dione of Greek mythology. It is also designated Saturn IV. Giovanni Domenico Cassini named the four moons he discovered (Tethys, Dione, Rhea and Iapetus) Sidera Lodoicea (""the stars of Louis"") to honor king Louis XIV. Cassini found Dione in 1684 using a large aerial telescope he set up on the grounds of the Paris Observatory. The satellites of Saturn were not named until 1847, when William Herschel's son John Herschel published Results of Astronomical Observations made at the Cape of Good Hope, suggesting that the names of the Titans (sisters and brothers of Cronus) be used.",Saturn,satellite,NULL,NULL,377396.00,561.70,1095000000000000000000.00,740000000.00,2.74,0.02,0.00,"3,965,000",1.48,0.231,0.51,2.736915,10.03,0.002,87,NULL,No
Rhea,,"Rhea is the second-largest moon of Saturn and the ninth-largest moon in the Solar System. It is the second smallest body in the Solar System, after the asteroid and dwarf planet Ceres, for which precise measurements have confirmed a shape consistent with hydrostatic equilibrium. It was discovered in 1672 by Giovanni Domenico Cassini. Rhea was discovered by Giovanni Domenico Cassini on 23 December 1672. It was the third moon discovered around Saturn and the second by him. Rhea is named after the Titan Rhea of Greek mythology, the ""mother of the gods"". It is also designated Saturn V (being the fifth major moon going outward from the planet)",Saturn,satellite,NULL,NULL,527108.00,764.30,2306000000000000000000.00,1900000000.00,4.52,0.35,0.00,"7,337,000",1.23,0.264,0.635,4.518212,8.48,0.001,76,NULL,Yes?
Titan,,"Titan is the largest moon of Saturn. It is the only moon known to have a dense atmosphere, and the only object in space other than Earth where clear evidence of stable bodies of surface liquid has been found. Titan is the sixth ellipsoidal moon from Saturn. Frequently described as a planet-like moon, Titan is 50% larger than Earth's Moon, and it is 80% more massive. It is the second-largest moon in the Solar System, after Jupiter's moon Ganymede, and is larger than the smallest planet, Mercury, but only 40% as massive. Discovered in 1655 by the Dutch astronomer Christiaan Huygens, Titan was the first known moon of Saturn, and the sixth known planetary satellite (after Earth's Moon and the four Galilean moons of Jupiter). Titan orbits Saturn at 20 Saturn radii. From Titan's surface, Saturn subtends an arc of 5.09 degrees and would appear 11.4 times larger in the sky than the Moon from Earth.",Saturn,satellite,NULL,NULL,1221870.00,2576.00,134520000000000000000000.00,71600000000.00,15.95,0.33,0.00,"83,000,000",1.88,1.35,2.64,15.945,5.57,0.0288,93.7,"N2, CH4",No
